שם_ישוב,שם_ישוב_לועזי
אעצם (שבט) ,A'SAM 
אבירים ,ABBIRIM 
אבו עבדון (שבט) ,ABU ABDUN 
אבו עמאר (שבט) ,ABU AMMAR 
אבו עמרה (שבט) ,ABU AMRE 
אבו גוש ,ABU GHOSH 
אבו ג'ווייעד (שבט) ,ABU JUWEI'ID 
אבו קורינאת (שבט) ,ABU QUREINAT 
אבו קרינאת (יישוב) ,ABU QUREINAT 
אבו רובייעה (שבט) ,ABU RUBEI'A 
אבו רוקייק (שבט) ,ABU RUQAYYEQ 
אבו סנאן ,ABU SINAN 
אבו סריחאן (שבט) ,ABU SUREIHAN 
אבו תלול ,ABU TULUL 
אדמית ,ADAMIT 
עדנים ,ADANIM 
אדרת ,ADDERET 
אדירים ,ADDIRIM 
עדי ,ADI 
אדורה ,ADORA 
אפיניש (שבט) ,AFEINISH 
אפק ,AFEQ 
אפיק ,AFIQ 
אפיקים ,AFIQIM 
עפולה ,AFULA 
עגור ,AGUR 
אחווה ,AHAWA 
אחיעזר ,AHI'EZER 
אחיהוד ,AHIHUD 
אחיסמך ,AHISAMAKH 
אחיטוב ,AHITUV 
אחוזם ,AHUZZAM 
אחוזת ברק ,AHUZZAT BARAQ 
עכו ,AKKO 
אל סייד ,AL SAYYID 
אל-עריאן ,AL-ARYAN 
אל-עזי ,AL-AZY 
עלי זהב ,ALE ZAHAV 
אלפי מנשה ,ALFE MENASHE 
אלון הגליל ,ALLON HAGALIL 
אלון שבות ,ALLON SHEVUT 
אלוני אבא ,ALLONE ABBA 
אלוני הבשן ,ALLONE HABASHAN 
אלוני יצחק ,ALLONE YIZHAQ 
אלונים ,ALLONIM 
עלמה ,ALMA 
אלמגור ,ALMAGOR 
אלמוג ,ALMOG 
עלמון ,ALMON 
עלומים ,ALUMIM 
אלומה ,ALUMMA 
אלומות ,ALUMMOT 
אמציה ,AMAZYA 
עמיר ,AMIR 
אמירים ,AMIRIM 
עמיעד ,AMMI'AD 
עמיעוז ,AMMI'OZ 
עמיחי ,AMMIHAY 
עמינדב ,AMMINADAV 
עמיקם ,AMMIQAM 
אמנון ,AMNUN 
עמקה ,AMQA 
עמוקה ,AMUQQA 
אניעם ,ANI'AM 
ערערה ,AR'ARA 
ערערה-בנגב ,AR'ARA-BANEGEV 
ערד ,ARAD 
עראמשה ,ARAMSHA 
ארבל ,ARBEL 
ארגמן ,ARGAMAN 
אריאל ,ARI'EL 
ערב אל נעים ,ARRAB AL NAIM 
עראבה ,ARRABE 
ארסוף ,ARSUF 
ערוגות ,ARUGOT 
אסד (שבט) ,ASAD 
אספר ,ASEFAR 
עשרת ,ASERET 
אשלים ,ASHALIM 
אשדוד ,ASHDOD 
אשדות יעקב (איחוד) ,ASHDOT YA'AQOV(IHUD) 
אשדות יעקב (מאוחד) ,ASHDOT YA'AQOV(ME'UH 
אשרת ,ASHERAT 
אשקלון ,ASHQELON 
עטאוונה (שבט) ,ATAWNE 
עטרת ,ATERET 
עתלית ,ATLIT 
אטרש (שבט) ,ATRASH 
עצמון שגב ,ATSMON-SEGEV 
עבדון ,AVDON 
אבנת ,AVENAT 
אביאל ,AVI'EL 
אביעזר ,AVI'EZER 
אביגדור ,AVIGEDOR 
אביחיל ,AVIHAYIL 
אביטל ,AVITAL 
אביבים ,AVIVIM 
אבני איתן ,AVNE ETAN 
אבני חפץ ,AVNE HEFEZ 
אבשלום ,AVSHALOM 
אבטליון ,AVTALYON 
עיינות ,AYANOT 
איילת השחר ,AYYELET HASHAHAR 
עזריה ,AZARYA 
אזור ,AZOR 
עזריאל ,AZRI'EL 
עזריקם ,AZRIQAM 
בחן ,BAHAN 
בלפוריה ,BALFURIYYA 
באקה אל-גרביה ,BAQA AL-GHARBIYYE 
בר גיורא ,BAR GIYYORA 
בר יוחאי ,BAR YOHAY 
ברעם ,BAR'AM 
ברק ,BARAQ 
ברקת ,BAREQET 
ברקן ,BARQAN 
ברקאי ,BARQAY 
"בסמ""ה ",BASMA 
בסמת טבעון ,BASMAT TAB'UN 
בת עין ,BAT AYIN 
בת הדר ,BAT HADAR 
בת חפר ,BAT HEFER 
בת חן ,BAT HEN 
בת שלמה ,BAT SHELOMO 
בת ים ,BAT YAM 
בצרה ,BAZRA 
באר מילכה ,BE'ER MILKA 
באר אורה ,BE'ER ORA 
באר שבע ,BE'ER SHEVA 
באר טוביה ,BE'ER TUVEYA 
באר יעקב ,BE'ER YA'AQOV 
בארי ,BE'ERI 
בארות יצחק ,BE'EROT YIZHAQ 
בארותיים ,BE'EROTAYIM 
באר גנים ,BEER GANNIM 
בית ג'ן ,BEIT JANN 
בן עמי ,BEN AMMI 
בן שמן (מושב) ,BEN SHEMEN (MOSHAV) 
בן שמן (כפר נוער) ,BEN SHEMEN(K.NO'AR) 
בן זכאי ,BEN ZAKKAY 
בניה ,BENAYA 
בני עטרות ,BENE ATAROT 
"בני עי""ש ",BENE AYISH 
בני ברק ,BENE BERAQ 
בני דרום ,BENE DAROM 
בני דרור ,BENE DEROR 
בני נצרים ,BENE NEZARIM 
בני ראם ,BENE RE'EM 
בני יהודה ,BENE YEHUDA 
בני ציון ,BENE ZIYYON 
בקעות ,BEQA'OT 
בקוע ,BEQOA 
ברכה ,BERAKHA 
ברכיה ,BEREKHYA 
ברור חיל ,BEROR HAYIL 
ברוש ,BEROSH 
בית אלפא ,BET ALFA 
בית עריף ,BET ARIF 
בית אריה ,BET ARYE 
בית ברל ,BET BERL 
בית דגן ,BET DAGAN 
בית אל ,BET EL 
בית אלעזרי ,BET EL'AZARI 
בית עזרא ,BET EZRA 
בית גמליאל ,BET GAMLI'EL 
בית גוברין ,BET GUVRIN 
בית הערבה ,BET HAARAVA 
בית העמק ,BET HAEMEQ 
בית הגדי ,BET HAGADDI 
בית הלוי ,BET HALEVI 
בית חנן ,BET HANAN 
בית חנניה ,BET HANANYA 
בית השיטה ,BET HASHITTA 
בית חשמונאי ,BET HASHMONAY 
בית חירות ,BET HERUT 
בית הלל ,BET HILLEL 
בית חלקיה ,BET HILQIYYA 
בית חורון ,BET HORON 
בית לחם הגלילית ,BET LEHEM HAGELILIT 
בית מאיר ,BET ME'IR 
בית נחמיה ,BET NEHEMYA 
בית נקופה ,BET NEQOFA 
בית ניר ,BET NIR 
בית אורן ,BET OREN 
בית עובד ,BET OVED 
בית קמה ,BET QAMA 
בית קשת ,BET QESHET 
בית רבן ,BET RABBAN 
בית רימון ,BET RIMMON 
בית שאן ,BET SHE'AN 
בית שערים ,BET SHE'ARIM 
בית שמש ,BET SHEMESH 
בית שקמה ,BET SHIQMA 
בית עוזיאל ,BET UZZI'EL 
בית ינאי ,BET YANNAY 
בית יהושע ,BET YEHOSHUA 
בית יצחק-שער חפר ,BET YIZHAQ-SH. HEFER 
בית יוסף ,BET YOSEF 
בית זית ,BET ZAYIT 
בית זיד ,BET ZEID 
בית זרע ,BET ZERA 
בית צבי ,BET ZEVI 
ביתר עילית ,BETAR ILLIT 
בצת ,BEZET 
בענה ,BI NE 
בנימינה-גבעת עדה ,BINYAMINA 
ביר אל-מכסור ,BIR EL-MAKSUR 
ביר הדאג' ,BIR HADAGE 
ביריה ,BIRIYYA 
ביתן אהרן ,BITAN AHARON 
בטחה ,BITHA 
ביצרון ,BIZZARON 
בני דקלים ,BNE DKALIM 
ברוכין ,BRUKHIN 
בועיינה-נוג'ידאת ,BU'EINE-NUJEIDAT 
בוקעאתא ,BUQ'ATA 
בורגתה ,BURGETA 
בוסתן הגליל ,BUSTAN HAGALIL 
דבוריה ,DABBURYE 
דפנה ,DAFNA 
דחי ,DAHI 
דאלית אל-כרמל ,DALIYAT AL-KARMEL 
דליה ,DALIYYA 
דלתון ,DALTON 
דן ,DAN 
דברת ,DAVERAT 
דגניה א' ,DEGANYA ALEF 
דגניה ב' ,DEGANYA BET 
דייר אל-אסד ,DEIR AL-ASAD 
דייר חנא ,DEIR HANNA 
דייר ראפאת ,DEIR RAFAT 
דמיידה ,DEMEIDE 
דקל ,DEQEL 
דריג'את ,DERIG'AT 
דבורה ,DEVORA 
דימונה ,DIMONA 
דישון ,DISHON 
דולב ,DOLEV 
דור ,DOR 
דורות ,DOROT 
"דוב""ב ",DOVEV 
דביר ,DVIR 
אפרת ,EFRAT 
עיילבון ,EILABUN 
עין אל-אסד ,EIN AL-ASAD 
עין חוד ,EIN HOD 
עין מאהל ,EIN MAHEL 
עין נקובא ,EIN NAQQUBA 
עין קנייא ,EIN QINIYYE 
עין ראפה ,EIN RAFA 
אלעד ,EL'AD 
אלעזר ,EL'AZAR 
אל-רום ,EL-ROM 
אילת ,ELAT 
עלי ,ELI 
אלי-עד ,ELI-AD 
אליאב ,ELIAV 
אליפז ,ELIFAZ 
אליפלט ,ELIFELET 
אלישמע ,ELISHAMA 
אילון ,ELON 
אלון מורה ,ELON MORE 
אילות ,ELOT 
אלקנה ,ELQANA 
אלקוש ,ELQOSH 
אליכין ,ELYAKHIN 
אליקים ,ELYAQIM 
אלישיב ,ELYASHIV 
אמונים ,EMUNIM 
עין איילה ,EN AYYALA 
עין דור ,EN DOR 
עין גדי ,EN GEDI 
עין גב ,EN GEV 
עין הבשור ,EN HABESOR 
עין העמק ,EN HAEMEQ 
עין החורש ,EN HAHORESH 
עין המפרץ ,EN HAMIFRAZ 
"עין הנצי""ב ",EN HANAZIV 
עין חרוד (איחוד) ,EN HAROD (IHUD) 
עין חרוד (מאוחד) ,EN HAROD(ME'UHAD) 
עין השלושה ,EN HASHELOSHA 
עין השופט ,EN HASHOFET 
עין חצבה ,EN HAZEVA 
עין הוד ,EN HOD 
עין עירון ,EN IRON 
"עין כרם-בי""ס חקלאי ",EN KAREM-B.S.HAQLA'I 
עין כרמל ,EN KARMEL 
עין שריד ,EN SARID 
עין שמר ,EN SHEMER 
